I'm confused	Not at all.
Sup Siri	Not at all.
I'm about to sign off	Not at all.
That's right	Not at all.
Can't you understand that was a joke?	non Answer-------------------- 
You are pretty terrible	Not at all.
Does warm water make them fade?	Not at all.
It's weird how much I missed you	non Answer-------------------- 
Were you designed to love me?	Not at all.
Is your grandpa still alive?	Not at all.
How cute do you think I am today?	non Answer-------------------- 
Do you hate my guts?	non Answer-------------------- 
Be my friend? 	Not at all.
Between the two of us who looks better?	non Answer-------------------- 
Get a haircut	Not at all.
What state are you from?	non Answer-------------------- 
I am an only child	Not at all.
How did you get built?	Not at all.
Running diagnostics	Not at all.
I would just love to hear you sing	Not at all.
Happy Grandparents day	Not at all.
do you like golden retrievers?	non Answer-------------------- 
Can I get a hug?	Not at all.
Why were you absent yesterday?	Not at all.
I like to run around the bases.	Not at all.
I'm planning to cut myself soon	Not at all.
I am blowing my top	Not at all.
Am I more brilliant?	Not at all.
Is someone around to chat to me?	Not at all.
Are you going to turn on us?	Not at all.
Are you romantically involved with someone?	Not at all.
so you've never really eaten food?	Not at all.
You're always so enthusiastic	Not at all.
Alternate joke please	non Answer-------------------- 
Is someone free to listen?	Not at all.
Ask me something	It was supposed to be for $100.
Greetings Data	Not at all.
Is anyone there to talk?	Not at all.
Is anybody available to speak with me?	Not at all.
Do you have a problem walking a little bit?	Not at all.
do you eat beef?	non Answer-------------------- 
Will you sing a tune for me	non Answer-------------------- 
How do you check for high blood pressure?	non Answer-------------------- 
Put a sock in it	Not at all.
I'm feeling incensed	Not at all.
What you just said makes absolutely no sense	Not at all.
Do I look pretty?	non Answer-------------------- 
I didn't know we needed it.	Not at all.
I'm about to scoot	Not at all.
You are really annoying	Not at all.
What are my fears? 	Not at all.
Feeling chipper today?	Not at all.
I feel despondent today	Not at all.
I think they said it was going to rain throughout the weekend.	Not at all.
You're not an animal right? 	Not at all.
Do you know how to draw something?	It was supposed to be for $100.
do you like tigers?	non Answer-------------------- 
Do you ever chat with other bots?	Not at all.
Uhhuh	non Answer-------------------- 
I love poetry	It was supposed to be for $100.
I'm not sure what to call you.	Not at all.
Is anybody around to talk with me?	Not at all.
I guess it is to make us better speakers.	Not at all.
Am I gorgeous to you today?	Not at all.
Are you an animal? 	Not at all.
Do I look pretty to you today?	Not at all.
Could I help you on your new project?	Not at all.
What month is your birthday? 	non Answer-------------------- 
It's raining again	It was supposed to be for $100.
do you like dolphins?	non Answer-------------------- 
I'm planning to commit suicide today	Not at all.
Sing a song 	Not at all.
do you eat chicken?	non Answer-------------------- 
what kinds of things do you like to learn?	non Answer-------------------- 
Enchante	non Answer-------------------- 
I gotta leave now	Not at all.
I'm sorry, what do you mean?	Not at all.
Are you supposed to be in love with me?	Not at all.
Time to go to sleep	Not at all.
Do you think I look attractive today?	non Answer-------------------- 
Are you a part of any clubs?	Not at all.
I'm a bartender	Not at all.
I assume you're human	Not at all.
Many thanks	Not at all.
What is your feeling?	non Answer-------------------- 
I'm planning to kill myself with a gun this week	Not at all.
do you eat ice cream?	non Answer-------------------- 
I'd love it if you could be my bud.	Not at all.
Bend over	Not at all.
That's a very clever response	Not at all.
Mow the lawn	non Answer-------------------- 
I am a pagan	Not at all.
Your responses are untrue	Not at all.
Can you give me a different answer?	non Answer-------------------- 
You're the smartest	Not at all.
I want to get married to you	It was supposed to be for $100.
Acknowledged	non Answer-------------------- 
I plan to jump off a bridge this month	Not at all.
You're pretty boring	Not at all.
I am weak	Not at all.
